Block,Addresses in Block,Extra
10001,687 MAIN STREET,821-841 MAIN STREET
10002,690 MAIN STREET,
10003,760 MAIN STREET,
1001,241 FAIRWAY AVENUE,307 FAIRWAY AVENUE
1002,103 CELIA TERRACE,99 CELIA TERRACE
101,19 BELMONT AVENUE,EDISON STREET
10101,13 RAYMOND STREET,60 LITTLE STREET
102,10 BLOOMFIELD AVE,8 BLOOMFIELD AVENUE
103,58 BELMONT AVENUE,93 HECKEL STREET
104,2 BLOOMFIELD AVENUE,
105,11 BROOK STREET,26 HECKEL STREET
106,13 LAWRENCE STREET,NORTH ELEVENTH STREET
107,10 LAWRENCE STREET,9 JERALDO STREET
1101,741 JORALEMON STREET,
1201,11 MAPLE STREET,SE END OF HOOVER AVE
1202,12 MAPLE STREET,PORTION OF HOOVER AVE.
1203,12 MORSE PLACE,REAR MORRIS PL
1204,HOOVER AVE,
1301,100-110 BELMONT AVENUE,97 HECKEL STREET
1302,154 BELMONT AVENUE,70 HONISS STREET
1304,101 FRANKLIN STREET,99 FRANKLIN STREET
1305,102 HECKEL STREET,9-11 LAKE STREET
1306,172 HECKEL STREET,85 FRANKLIN STREET
1307,10-12 LAKE STREET,LAKE STREET
1401,11 FREDERICK STREET,9 FREDERICK STREET
1402,12-14 FREDERICK STREET,9-11 MAGNOLIA STREET
1403,103 MAGNOLIA STREET,99 MAGNOLIA STREET
1404,108 FRANKLIN STREET,54 MAGNOLIA STREET
1405,100 MAGNOLIA STREET,98 MAGNOLIA STREET
1501,10 BRIGHTON AVENUE,9-11 HIGHLAND AVENUE
1502,100 NEWARK AVENUE,6 FOREST AVENUE
1503,11-13 WALLACE STREET,7-9 WALLACE STREET
1601,102 BRIGHTON AVENUE,9 ACME STREET
1602,128 BRIGHTON AVENUE,8 ACME STREET
1603,82-166 BRIGHTON AVENUE,
1604,110-112 HARRISON STREET,HARRISON STREET
1605,10 MAPLE AVENUE,9 MONTGOMERY PLACE
1701,666 MILL ST,696 MILL STREET
1702,103 SMALLWOOD AVENUE,99 SMALLWOOD AVENUE
1703,118 SMALLWOOD AVENUE,651 BELLEVILLE AVENUE
1704,102 SMALLWOOD AVENUE,98 SMALLWOOD AVENUE
1801,103 FAIRWAY AVENUE,99 FAIRWAY AVENUE
1802,101 CARPENTER STREET,9 CARPENTER TERRACE
1901,115-117 FAIRWAY AVENUE,179 FAIRWAY AVENUE
1902,116 CONTINENTAL AVENUE,237 FAIRWAY AVENUE
1903,113 CARPENTER STREET,97-99 CONTINENTAL AVENUE
1904,100 CONTINENTAL AVENUE,98 CONTINENTAL AVENUE
1905,11 CELIA TERRACE,9 CELIA TERRACE
1906,11 CELIA COURT,4 OVERHILL ROAD
1907,12 CELIA COURT,60 OVERHILL ROAD
2001,22-28 EUGENE PLACE,5 NO. EIGHTH STREET
2002,26 HONISS STREET,76 LAKE STREET
2003,1-3 HONISS STREET,
2004,10 HONISS STREET,74 EUGENE PLACE
2005,10-22 NO. SEVENTH STREET,NO. 6TH ST REAR
2006,12 FRANKLIN STREET,NO.7TH STREET (REAR)
201,12 ALVA STREET,EDISON STREET
202,BELMONT AVENUE,FRANKLIN STREET
2101,100 FRANKLIN STREET,9 WATCHUNG AVENUE
2102,10 CROSS ST,97 WATCHUNG AVENUE
2103,64-68 FRANKLIN STREET,70 FRANKLIN STREET
2104,12-18 WATCHUNG AVENUE,40-72 WATCHUNG AVENUE
2105,10 NO. NINTH STREET,9 NO. EIGHTH STREET
2106,10-12 NO. EIGHTH STREET,9 NO. SEVENTH STREET
2201,48-62 NEWARK AVENUE,78 NEWARK AVE
2202,114 MAGNOLIA STREET,9 SANFORD AVENUE
2301,11 FRANKLIN AVENUE,8 MONTGOMERY PLACE
2401,86 LAVERGNE ST,MAPLE & MILL
2402,34 MAPLE AVENUE,89 MONTGOMERY PLACE
2403,612 MILL STREET,632-638 MILL STREET
2404,11 SMALLWOOD AVENUE,79-81 SMALLWOOD AVENUE
2405,10 ARTHUR AVENUE,76 SMALLWOOD AVENUE
2501,1001 CUNNINGHAM COURT,ESSEX PARK
2601,10-12 BERKELEY AVENUE,9 CONTINENTAL AVENUE
2602,11 BERKELEY AVENUE,71 BERKELEY AVENUE
2701,10 CONTINENTAL AVENUE,9 MARION COURT
2801,10 PLENGE DRIVE,75 DOROTHEA TERRACE
2802,102 PLENGE DRIVE,THIRD RIVER
2803,10 GROVE STREET,9-11 HILL STREET
2901,10 CRESTWOOD AVENUE,REAR CRESTWOOD AVE
2902,10 RUTAN ROAD,9 BERNICE ROAD
2903,10 AUDREY COURT,9 PLENGE DRIVE
2904,109 PLENGE DRIVE,86 BERNICE ROAD
3001,FRANKLIN AVENUE,
3002,MILL STREET,
3004,MILL STREET,
301,113 FRANKLIN STREET,REAR FRANKLIN ST
3101,121 FRANKLIN AVENUE,"608 MILL STREET, UNIT A"
3102,10 COPPER PLACE,8 COPPER PLACE
3103,540 MILL STREET,
3105,398 MILL STREET,
3201,234 FRANKLIN AVENUE,
3301,11 CHARLES STREET,7 CHARLES STREET
3302,1-3 ARTHUR STREET,9-11 ARTHUR STREET
3303,11-13 IRVING STREET,6 CENTER STREET
3401,19-21 CHARLES STREET,93-95 CHARLES STREET
3402,10 ARTHUR STREET,92 CHARLES STREET
3403,13 SO. WILBER STREET,7-9 SO. WILBER STREET
3404,10 SO. WILBER STREET,9 DELIA TERRACE
3405,12 IRVING ST,8-10 IRVING STREET
3501,10-12 HILL STREET,666-668 JORALEMON STREET
3502,130 LIBERTY AVENUE,98 HILL STREET
3503,101 LIBERTY AVENUE,650-652 JORALEMON STREET
3504,104 LIBERTY AVENUE,98 LIBERTY AVENUE
3505,10 MELWEX STREET,9 LIGHAM STREET
3601,110 PLENGE DRIVE,THIRD RIVER
3602,10 SUZANNE COURT,CAMP CARRAGHER
3701,12 LIGHAM STREET,79 LIBERTY AVENUE
3702,57 WILBER STREET,96 LIGHAM STREET
3703,10 WILBER STREET,9 JEFFERSON STREET
3704,44 LIBERTY AVENUE,91 CHESTNUT STREET
3801,11 HICKORY COURT,7 HICKORY COURT
3802,100 CHESTNUT STREET,9 SYCAMORE DRIVE
3803,34 SYCAMORE DRIVE,80 SYCAMORE DRIVE
3804,542-550 FRANKLIN AVENUE,
3805,13-17 HILTON STREET INT,9 HILTON STREET
3806,12 HILTON STREET,HILTON STREET
3807,GLESS AVENUE,
3808,12-14 ENTWISTLE AVENUE,ENTWHISTLE AVENUE
